App Domain1,App Domain2,WebDomain1,WebDomain2,status
DA,DA,DA,Unknown,Cross
Unknown,Unknown,Unknown,Unknown,NonCross
Unknown,Unknown,Unknown,Unknown,NonCross
DA,DA,DA,Unknown,Cross
Unknown,Unknown,Unknown,Unknown,NonCross
Unknown,Unknown,Unknown,Unknown,NonCross
